,Article,ArticlePublishingDate,Community,n_edges,total_edges_possible,quotient
0,2000103364196,2019-05-17 18:19:06.19,0,3844,11125560,0.00035
1,2000103364196,2019-05-17 18:19:06.19,1,1287,7921410,0.00016
2,2000103364196,2019-05-17 18:19:06.19,2,1824,3843560,0.00047
3,2000103364196,2019-05-17 18:19:06.19,3,667,2463330,0.00027
4,2000103364196,2019-05-17 18:19:06.19,4,90,738740,0.00012
5,2000103364196,2019-05-17 18:19:06.19,5,28,103362,0.00027
6,2000103364196,2019-05-17 18:19:06.19,6,9,72630,0.00012
7,2000103364196,2019-05-17 18:19:06.19,7,2,52212,4e-05
8,2000103364196,2019-05-17 18:19:06.19,8,6,46440,0.00013
9,2000103364196,2019-05-17 18:19:06.19,9,1,46440,2e-05
10,2000103364196,2019-05-17 18:19:06.19,10,9,40602,0.00022
11,2000103364196,2019-05-17 18:19:06.19,11,13,30450,0.00043
12,2000103364196,2019-05-17 18:19:06.19,12,10,21170,0.00047
13,2000103364196,2019-05-17 18:19:06.19,13,2,15750,0.00013
14,2000103364196,2019-05-17 18:19:06.19,14,1,15750,6e-05
15,2000103364196,2019-05-17 18:19:06.19,15,1,9900,0.0001
16,2000103364196,2019-05-17 18:19:06.19,16,1,9120,0.00011
17,2000103364196,2019-05-17 18:19:06.19,17,1,7310,0.00014
18,2000103364196,2019-05-17 18:19:06.19,18,1,5402,0.00019
19,2000103364196,2019-05-17 18:19:06.19,19,1,3422,0.00029
20,2000103364196,2019-05-17 18:19:06.19,20,5,870,0.00575
21,2000103364196,2019-05-17 18:19:06.19,21,0,420,0.0
22,2000103364196,2019-05-17 18:19:06.19,22,0,272,0.0
23,2000103364196,2019-05-17 18:19:06.19,23,0,210,0.0
24,2000103364196,2019-05-17 18:19:06.19,24,0,182,0.0
25,2000103364196,2019-05-17 18:19:06.19,25,0,156,0.0
26,2000103364196,2019-05-17 18:19:06.19,26,0,156,0.0
27,2000103364196,2019-05-17 18:19:06.19,27,1,156,0.00641
28,2000103364196,2019-05-17 18:19:06.19,28,0,156,0.0
29,2000103364196,2019-05-17 18:19:06.19,29,0,110,0.0
30,2000103364196,2019-05-17 18:19:06.19,30,0,110,0.0
31,2000103364196,2019-05-17 18:19:06.19,31,0,110,0.0
32,2000103364196,2019-05-17 18:19:06.19,32,0,90,0.0
33,2000103364196,2019-05-17 18:19:06.19,33,0,90,0.0
34,2000103364196,2019-05-17 18:19:06.19,34,0,90,0.0
35,2000103364196,2019-05-17 18:19:06.19,35,0,72,0.0
36,2000103364196,2019-05-17 18:19:06.19,36,0,72,0.0
37,2000103364196,2019-05-17 18:19:06.19,37,0,56,0.0
38,2000103364196,2019-05-17 18:19:06.19,38,0,56,0.0
39,2000103364196,2019-05-17 18:19:06.19,39,0,56,0.0
40,2000103364196,2019-05-17 18:19:06.19,40,0,42,0.0
41,2000103364196,2019-05-17 18:19:06.19,41,0,42,0.0
42,2000103364196,2019-05-17 18:19:06.19,42,0,42,0.0
43,2000103364196,2019-05-17 18:19:06.19,43,0,42,0.0
44,2000103364196,2019-05-17 18:19:06.19,44,0,42,0.0
45,2000103364196,2019-05-17 18:19:06.19,45,0,42,0.0
46,2000103364196,2019-05-17 18:19:06.19,46,0,42,0.0
47,2000103364196,2019-05-17 18:19:06.19,47,0,42,0.0
48,2000103364196,2019-05-17 18:19:06.19,48,0,42,0.0
49,2000103364196,2019-05-17 18:19:06.19,49,0,30,0.0
50,2000103364196,2019-05-17 18:19:06.19,50,0,30,0.0
51,2000103364196,2019-05-17 18:19:06.19,51,0,30,0.0
52,2000103364196,2019-05-17 18:19:06.19,52,0,30,0.0
53,2000103364196,2019-05-17 18:19:06.19,53,0,30,0.0
54,2000103364196,2019-05-17 18:19:06.19,54,0,30,0.0
55,2000103364196,2019-05-17 18:19:06.19,55,0,30,0.0
56,2000103364196,2019-05-17 18:19:06.19,56,0,30,0.0
57,2000103364196,2019-05-17 18:19:06.19,57,0,30,0.0
58,2000103364196,2019-05-17 18:19:06.19,58,0,20,0.0
59,2000103364196,2019-05-17 18:19:06.19,59,0,20,0.0
60,2000103364196,2019-05-17 18:19:06.19,60,0,20,0.0
61,2000103364196,2019-05-17 18:19:06.19,61,0,20,0.0
62,2000103364196,2019-05-17 18:19:06.19,62,0,20,0.0
63,2000103364196,2019-05-17 18:19:06.19,63,0,20,0.0
64,2000103364196,2019-05-17 18:19:06.19,64,0,20,0.0
65,2000103364196,2019-05-17 18:19:06.19,65,0,20,0.0
66,2000103364196,2019-05-17 18:19:06.19,66,0,20,0.0
67,2000103364196,2019-05-17 18:19:06.19,67,0,20,0.0
68,2000103364196,2019-05-17 18:19:06.19,68,0,20,0.0
69,2000103364196,2019-05-17 18:19:06.19,69,0,20,0.0
70,2000103364196,2019-05-17 18:19:06.19,70,0,20,0.0
71,2000103364196,2019-05-17 18:19:06.19,71,0,20,0.0
72,2000103364196,2019-05-17 18:19:06.19,72,0,20,0.0
73,2000103364196,2019-05-17 18:19:06.19,73,0,20,0.0
74,2000103364196,2019-05-17 18:19:06.19,74,0,20,0.0
75,2000103364196,2019-05-17 18:19:06.19,75,0,20,0.0
76,2000103364196,2019-05-17 18:19:06.19,76,0,12,0.0
77,2000103364196,2019-05-17 18:19:06.19,77,0,12,0.0
78,2000103364196,2019-05-17 18:19:06.19,78,0,12,0.0
79,2000103364196,2019-05-17 18:19:06.19,79,0,12,0.0
80,2000103364196,2019-05-17 18:19:06.19,80,0,12,0.0
81,2000103364196,2019-05-17 18:19:06.19,81,0,12,0.0
82,2000103364196,2019-05-17 18:19:06.19,82,0,12,0.0
83,2000103364196,2019-05-17 18:19:06.19,83,0,12,0.0
84,2000103364196,2019-05-17 18:19:06.19,84,1,12,0.08333
85,2000103364196,2019-05-17 18:19:06.19,85,0,12,0.0
86,2000103364196,2019-05-17 18:19:06.19,86,0,12,0.0
87,2000103364196,2019-05-17 18:19:06.19,87,0,12,0.0
88,2000103364196,2019-05-17 18:19:06.19,88,0,12,0.0
89,2000103364196,2019-05-17 18:19:06.19,89,0,12,0.0
90,2000103364196,2019-05-17 18:19:06.19,90,0,12,0.0
91,2000103364196,2019-05-17 18:19:06.19,91,0,12,0.0
92,2000103364196,2019-05-17 18:19:06.19,92,0,12,0.0
93,2000103364196,2019-05-17 18:19:06.19,93,0,12,0.0
94,2000103364196,2019-05-17 18:19:06.19,94,0,12,0.0
95,2000103364196,2019-05-17 18:19:06.19,95,0,12,0.0
96,2000103364196,2019-05-17 18:19:06.19,96,0,12,0.0
97,2000103364196,2019-05-17 18:19:06.19,97,0,12,0.0
98,2000103364196,2019-05-17 18:19:06.19,98,0,12,0.0
99,2000103364196,2019-05-17 18:19:06.19,99,0,12,0.0
100,2000103364196,2019-05-17 18:19:06.19,100,0,12,0.0
101,2000103364196,2019-05-17 18:19:06.19,101,0,12,0.0
102,2000103364196,2019-05-17 18:19:06.19,102,0,12,0.0
103,2000103364196,2019-05-17 18:19:06.19,103,0,12,0.0
104,2000103364196,2019-05-17 18:19:06.19,104,0,12,0.0
105,2000103364196,2019-05-17 18:19:06.19,105,0,12,0.0
106,2000103364196,2019-05-17 18:19:06.19,106,0,12,0.0
107,2000103364196,2019-05-17 18:19:06.19,107,0,12,0.0
